Year,Ec_activ,Value
2019,31_man_non_met,0.7
2020,31_man_non_met,1.1
2015,32_man_met,2.2
2016,32_man_met,
2017,32_man_met,0.9
2018,32_man_met,0.5
2019,32_man_met,3.2
2020,32_man_met,3.9
2015,33_man_equip,1.4
2016,33_man_equip,
2017,33_man_equip,1.2
2018,33_man_equip,2.7
2019,33_man_equip,0.7
2020,33_man_equip,1.5
2015,34_man_pc,6.4
2016,34_man_pc,
2017,34_man_pc,3.1
2018,34_man_pc,5.8
2019,34_man_pc,6.3
2020,34_man_pc,9.9
2015,manufacture of electrical equipment,6.1
2016,manufacture of electrical equipment,
2017,manufacture of electrical equipment,2.5
2018,manufacture of electrical equipment,3.3
2019,manufacture of electrical equipment,4.1
2020,manufacture of electrical equipment,7.8
2015,manufacture of machinery and equipment. not elsewhere classified,7.7
2016,manufacture of machinery and equipment. not elsewhere classified,
2017,manufacture of machinery and equipment. not elsewhere classified,3.5
2018,manufacture of machinery and equipment. not elsewhere classified,2.6
2019,manufacture of machinery and equipment. not elsewhere classified,8.1
2020,manufacture of machinery and equipment. not elsewhere classified,5.8
2015,manufacture of motor vehicles. trailers and semi-trailers,4.3
2016,manufacture of motor vehicles. trailers and semi-trailers,
2017,manufacture of motor vehicles. trailers and semi-trailers,2.3
2018,manufacture of motor vehicles. trailers and semi-trailers,5
2019,manufacture of motor vehicles. trailers and semi-trailers,5.6
2020,manufacture of motor vehicles. trailers and semi-trailers,3.6
2015,manufacture of other vehicles,5.9
2016,manufacture of other vehicles,
2017,manufacture of other vehicles,5.4
2018,manufacture of other vehicles,5.3
2019,manufacture of other vehicles,1.6
2020,manufacture of other vehicles,4.4
2015,manufacture of furniture,2.8
2016,manufacture of furniture,
2017,manufacture of furniture,0.7
2018,manufacture of furniture,2.2
2019,manufacture of furniture,1
2020,manufacture of furniture,1.4
2015,manufacture of other products,1.1
2016,manufacture of other products,
2017,manufacture of other products,1
2018,manufacture of other products,0.5
2019,manufacture of other products,0.3
2020,manufacture of other products,3.1
2015,repair and installation of machinery and equipment,0.9
2016,repair and installation of machinery and equipment,
2017,repair and installation of machinery and equipment,0.1
2018,repair and installation of machinery and equipment,0.7
2019,repair and installation of machinery and equipment,0.4
2020,repair and installation of machinery and equipment,0.2
2015,supply of electricity. gas. steam and air conditioning,0
2016,supply of electricity. gas. steam and air conditioning,
2017,supply of electricity. gas. steam and air conditioning,0
2018,supply of electricity. gas. steam and air conditioning,
2019,supply of electricity. gas. steam and air conditioning,
2020,supply of electricity. gas. steam and air conditioning,0
2015,water supply. sewage. waste management,0
2016,water supply. sewage. waste management,
2017,water supply. sewage. waste management,0
2018,water supply. sewage. waste management,
2019,water supply. sewage. waste management,
2020,water supply. sewage. waste management,
2015,water collection. treatment and supply,0
2016,water collection. treatment and supply,
2017,water collection. treatment and supply,
2018,water collection. treatment and supply,
2019,water collection. treatment and supply,
2020,water collection. treatment and supply,
2015,sewage. wastewater collection and treatment,
2016,sewage. wastewater collection and treatment,
2017,sewage. wastewater collection and treatment,
2018,sewage. wastewater collection and treatment,
2019,sewage. wastewater collection and treatment,0.2
2020,sewage. wastewater collection and treatment,
2015,collection. treatment and disposal of waste. restoration of materials,0
2016,collection. treatment and disposal of waste. restoration of materials,
2017,collection. treatment and disposal of waste. restoration of materials,0
2018,collection. treatment and disposal of waste. restoration of materials,
2019,collection. treatment and disposal of waste. restoration of materials,0
2020,collection. treatment and disposal of waste. restoration of materials,
2015,other waste management activities,0
2016,other waste management activities,
2017,other waste management activities,0
2018,other waste management activities,
2019,other waste management activities,0
2020,other waste management activities,
