Year,Стаття Кримінального Кодексу України,Одиниця виміру,Value
2016,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Усього кримінальних правопорушень (кількість),119.0
2017,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Усього кримінальних правопорушень (кількість),198.0
2018,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Усього кримінальних правопорушень (кількість),194.0
2019,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Усього кримінальних правопорушень (кількість),185.0
2020,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Усього кримінальних правопорушень (кількість),168.0
2015,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.35
2016,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.28
2017,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.47
2018,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.46
2019,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.44
2020,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв, ст.263-1",Рівень на 100 тис. населення,0.4
